Train data done.
[还, AD, DP:advmod, DPW:当, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[后, LC, DP:assmod, DPW:玻璃片, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[的, DEG, DP:assm, DPW:后, DPPOS:LC, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[玻璃片, NN, DP:nsubj, DPW:发霉, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:ATTR KEY:NONE $$$$$$
[容易, AD, DP:advmod, DPW:发霉, DPPOS:VV, OP:POS, EM:NONE] >> KEY:NONE KEY:NONE
[发霉, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:OP KEY:NONE $$$$$$
[。, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[玩具, NN, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:OP KEY:NONE $$$$$$
[。, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[便宜, VA, DP:NONE, DPW:NONE, DPPOS:NONE, OP:POS, EM:NONE] >> KEY:OP KEY:NONE $$$$$$

[简单, VA, DP:NONE, DPW:NONE, DPPOS:NONE, OP:POS, EM:NONE] >> KEY:OP KEY:NONE $$$$$$

[2-3分, CD, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[1, CD, DP:nummod, DPW:1.8ccd, DPPOS:CD, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[/, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[1.8ccd, CD, DP:nsubj, DPW:多, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[,, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[分辨率, NN, DP:conj, DPW:色彩, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[和, CC, DP:cc, DPW:色彩, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[色彩, NN, DP:nsubj, DPW:多, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[比, P, DP:prep, DPW:好, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[一般, JJ, DP:assmod, DPW:万, DPPOS:CD, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[的, DEG, DP:assm, DPW:一般, DPPOS:JJ, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[130, CD, DP:nummod, DPW:万, DPPOS:CD, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[万, CD, DP:pobj, DPW:比, DPPOS:P, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[要, AD, DP:advmod, DPW:好, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[好, VA, DP:nsubj, DPW:多, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[的, DEC, DP:cpm, DPW:好, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[多, VA, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:OP $$$$$$

[用, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:OP $$$$$$
[2CR5, CD, DP:nummod, DPW:电池, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[电池, NN, DP:dobj, DPW:用, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[，, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[太, AD, DP:advmod, DPW:贵, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[贵, VA, DP:conj, DPW:用, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[了, AS, DP:asp, DPW:贵, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[，, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[还是, CC, DP:cc, DPW:用, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[个, M, DP:clf, DPW:电老虎, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[电老虎, NN, DP:conj, DPW:用, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:OP KEY:OP

[国内, NN, DP:nn, DPW:水货, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[只有, AD, DP:advmod, DPW:水货, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[水货, NN, DP:nsubj, DPW:有, DPPOS:VE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[，, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[二, CD, DP:nummod, DPW:手, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[手, NN, DP:nn, DPW:市场, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[市场, NN, DP:lobj, DPW:上, DPPOS:LC, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[上, LC, DP:loc, DPW:有, DPPOS:VE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[有, VE, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[便宜货, NN, DP:dobj, DPW:有, DPPOS:VE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[金属, NN, DP:assmod, DPW:外壳, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[的, DEG, DP:assm, DPW:金属, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[外壳, NN, DP:nsubj, DPW:距, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[,, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[28, CD, DP:assmod, DPW:广角, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[的, DEG, DP:assm, DPW:28, DPPOS:CD, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[广角, NN, DP:nsubj, DPW:距, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[,, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[1.8, CD, DP:assmod, DPW:和, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[的, DEG, DP:assm, DPW:1.8, DPPOS:CD, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[LCD, NN, DP:nn, DPW:和, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[和, NN, DP:nsubj, DPW:距, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[微, AD, DP:advmod, DPW:距, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[距, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$

[像, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[素, AD, DP:advmod, DPW:低, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[太, AD, DP:advmod, DPW:低, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[低, VA, DP:ccomp, DPW:像, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[!, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[和, P, DP:prep, DPW:用, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[笔记本电脑, NN, DP:pobj, DPW:和, DPPOS:P, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[一起, AD, DP:advmod, DPW:用, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[用, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:OP $$$$$$
[很, AD, DP:advmod, DPW:方便, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[方便, VA, DP:ccomp, DPW:用, DPPOS:VV, OP:POS, EM:NONE] >> KEY:OP KEY:OP
[., PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[广角, NN, DP:lobj, DPW:端, DPPOS:LC, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[端, LC, DP:nsubj, DPW:距, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[的, DEG, DP:assm, DPW:端, DPPOS:LC, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[微, AD, DP:advmod, DPW:距, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[距, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[为, VC, DP:dep, DPW:距, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[5CM, CD, DP:attr, DPW:为, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[很, AD, DP:advmod, DPW:实用, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[实用, VA, DP:conj, DPW:为, DPPOS:VC, OP:POS, EM:NONE] >> KEY:OP KEY:OP
[., PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[做成, VV, DP:rcmod, DPW:照片, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[3R, CD, DP:range, DPW:做成, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[的, DEC, DP:cpm, DPW:做成, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[照片, NN, DP:nsubj, DPW:满足, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:ATTR KEY:NONE $$$$$$
[能, VV, DP:mmod, DPW:满足, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[满足, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:POS] >> KEY:OP KEY:OP
[平民, NN, DP:assmod, DPW:要求, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[的, DEG, DP:assm, DPW:平民, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[要求, NN, DP:dobj, DPW:满足, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[., PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[二, X, DP:dep, DPW:。, DPPOS:X, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[手, X, DP:dep, DPW:。, DPPOS:X, OP:NONE, EM:NONE] >> KEY:ATTR KEY:NONE $$$$$$
[?, X, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[便宜, X, DP:dep, DPW:。, DPPOS:X, OP:POS, EM:NONE] >> KEY:OP KEY:OP
[，, X, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[金, X, DP:dep, DPW:。, DPPOS:X, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[?, X, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[?, X, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[?, X, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[。, X, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[像, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[素, AD, DP:advmod, DPW:低, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[低, VA, DP:ccomp, DPW:像, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[，, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[?, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[光, VV, DP:dep, DPW:低, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[不, AD, DP:neg, DPW:光, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[太, AD, DP:advmod, DPW:光, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[?, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[，, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[?, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[池, NN, DP:nn, DPW:耐用, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[不, NN, DP:nn, DPW:耐用, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[耐用, NN, DP:dep, DPW:像, DPPOS:VV, OP:POS, EM:NONE] >> KEY:OP KEY:OP
[。, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[很多, X, DP:dep, DPW:., DPPOS:X, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[., X, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[., X, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[., X, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[., X, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[反映, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[慢, VA, DP:dep, DPW:反映, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[了, AS, DP:asp, DPW:慢, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[点, M, DP:dep, DPW:慢, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[还, AD, DP:advmod, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[是, VC, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[不错, VA, DP:rcmod, DPW:机器, DPPOS:NN, OP:POS, EM:NONE] >> KEY:OP KEY:OP
[的, DEC, DP:cpm, DPW:不错, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[机器, NN, DP:attr, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:ATTR KEY:NONE $$$$$$

[金属外壳, NN, DP:nsubj, DPW:感觉, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[，, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[感觉, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[好, VA, DP:ccomp, DPW:感觉, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[，, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[象素, NN, DP:nsubj, DPW:可以, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[还, AD, DP:advmod, DPW:可以, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:OP KEY:NONE $$$$$$
[可以, VV, DP:dep, DPW:感觉, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[，, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[金属外壳, NN, DP:nsubj, DPW:砸, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[，, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[我们, PN, DP:nsubj, DPW:砸, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[工程, NN, DP:lobj, DPW:上, DPPOS:LC, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[上, LC, DP:loc, DPW:砸, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[使用, VV, DP:mmod, DPW:砸, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[不, AD, DP:neg, DPW:砸, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[小心, AD, DP:advmod, DPW:砸, DPPOS:VV, OP:POS, EM:NONE] >> KEY:NONE KEY:NONE
[砸, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[过, AS, DP:asp, DPW:砸, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[多次, AD, DP:advmod, DPW:砸, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[，, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[比较, AD, DP:advmod, DPW:结实, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[结实, VA, DP:conj, DPW:砸, DPPOS:VV, OP:POS, EM:NONE] >> KEY:OP KEY:OP
[。, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[功能, NN, DP:nsubj, DPW:少, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[太, AD, DP:advmod, DPW:少, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[少, VA, DP:top, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[，, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[特别, AD, DP:advmod, DPW:难以忍受, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[难以忍受, VA, DP:dep, DPW:少, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[的, DEC, DP:cpm, DPW:少, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[是, VC, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[响应, NN, DP:nn, DPW:时间, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:ATTR KEY:NONE $$$$$$
[时间, NN, DP:attr, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:ATTR KEY:NONE $$$$$$
[，, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[开关机, NN, DP:nn, DPW:时间, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[时间, NN, DP:nsubj, DPW:慢, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[太, AD, DP:advmod, DPW:慢, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[慢, VA, DP:dep, DPW:是, DPPOS:VC, OP:NONE, EM:NONE] >> KEY:OP KEY:OP

[用, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:NONE KEY:OP $$$$$$
[过, AS, DP:asp, DPW:用, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[。, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[解像, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[力高, NN, DP:dobj, DPW:解像, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[，, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[有, VE, DP:conj, DPW:解像, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[金属, NN, DP:nn, DPW:质感, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[质感, NN, DP:dobj, DPW:有, DPPOS:VE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[2, CD, DP:dep, DPW:平正, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[、, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[机身, NN, DP:nsubj, DPW:平正, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:ATTR KEY:NONE $$$$$$
[过于, AD, DP:advmod, DPW:平正, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[平正, VV, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:OP KEY:NONE $$$$$$
[，, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[且, CC, DP:cc, DPW:平正, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[使用, VV, DP:dep, DPW:平正, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[了, AS, DP:asp, DPW:使用, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[强度, NN, DP:nsubj, DPW:高, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:ATTR $$$$$$
[不, AD, DP:neg, DPW:高, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[高, VA, DP:rcmod, DPW:工程塑料, DPPOS:NN, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[的, DEC, DP:cpm, DPW:高, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[工程塑料, NN, DP:dobj, DPW:使用, DPPOS:VV, OP:NONE, EM:NONE] >> KEY:ATTR KEY:NONE $$$$$$
[；, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE

[4, CD, DP:dep, DPW:大, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[、, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[耗电量, NN, DP:nsubj, DPW:大, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[太, AD, DP:advmod, DPW:大, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[大, VA, DP:root, DPW:ROOT, DPPOS:ROOT, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
[，, PU, DP:NONE, DPW:NONE, DPPOS:NONE, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[电池, NN, DP:dep, DPW:厚, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:ATTR KEY:ATTR
[太, AD, DP:advmod, DPW:厚, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:NONE KEY:NONE
[厚, VA, DP:dep, DPW:大, DPPOS:VA, OP:NONE, EM:NONE] >> KEY:OP KEY:OP
